stock_id,stock_name,reason
00950B,凱基A級公司債,分配收益
00959B,大華投等美債15Y+,分配收益
00966B,統一ESG投等債15+,分配收益
1264,德麥,股東常會
1580,新麥,股東常會
1586,和勤,股東常會
1742,台蠟,股東常會
1777,生泰,股東常會
2063,世鎧,股東常會
2063,世鎧,除息
2065,世豐,股東常會
2065,世豐,除息
2066,世德,股東常會
2070,精湛,股東常會
2070,精湛,除息
2641,正德,股東常會
2718,全心投控,股東常會
2719,燦星旅,股東常會
2732,六角,股東常會
2732,六角,除息
2755,揚秦,股東常會
2756,聯發國際,股東常會
2756,聯發國際,除息
2916,滿心,股東常會
2926,誠品生活,股東常會
3081,聯亞,股東常會
3105,穩懋,股東常會
3147,大綜,股東常會
3188,鑫龍騰,股東常會
3188,鑫龍騰,除息
3206,志豐,股東常會
3221,台嘉碩,股東常會
3227,原相,股東常會
3236,千如,股東常會
3260,威剛,股東常會
3264,欣銓,股東常會
3265,台星科,股東常會
3294,英濟,股東常會
3294,英濟,除息
3322,建舜電,股東常會
3360,尚立,股東常會
3374,精材,股東常會
3483,力致,股東常會
3490,單井,股東常會
3511,矽瑪,股東常會
3556,禾瑞亞,股東常會
3558,神準,股東常會
3580,友威科,股東常會
3628,盈正,股東常會
3675,德微,股東常會
3685,元創精密,股東常會
3689,湧德,股東常會
3709,鑫聯大投控,股東常會
4102,永日,股東常會
4105,東洋,股東常會
4105,東洋,除息
4116,明基醫,股東常會
4128,中天,股東常會
4130,健亞,股東常會
4147,中裕,股東常會
4153,鈺緯,股東常會
4175,杏一,股東常會
4420,光明,股東常會
4420,光明,除息
4432,銘旺實,股東常會
4535,至興,股東常會
4550,長佳,股東常會
4563,百德,股東常會
4577,達航科技,股東常會
4714,永捷,股東常會
4760,勤凱,股東常會
4768,晶呈科技,股東常會
4953,緯軟,股東常會
4974,亞泰,股東常會
4991,環宇-KY,股東常會
4995,晶達,股東常會
5009,榮剛,股東常會
5201,凱衛,除息
5209,新鼎,股東常會
5213,亞昕,股東常會
5220,萬達光電,股東常會
5230,雷笛克光學,股東常會
5236,凌陽創新,股東常會
5272,笙科,股東常會
5274,信驊,股東常會
5299,杰力,股東常會
5312,寶島科,股東常會
5340,建榮,股東常會
5347,世界,股東常會
5356,協益,股東常會
5386,青雲,股東常會
5403,中菲,股東常會
5410,國眾,股東常會
5443,均豪,股東常會
5483,中美晶,股東常會
5520,力泰,股東常會
5520,力泰,除息
5523,豐謙,股東常會
5529,鉅陞,股東常會
5548,安倉,股東常會
5601,台聯櫃,股東常會
5604,中連,股東常會
5609,中菲行,股東常會
5903,全家,股東常會
5904,寶雅,股東常會
6020,大展證,股東常會
6020,大展證,除息
6111,大宇資,股東常會
6121,新普,股東常會
6125,廣運,股東常會
6126,信音,股東常會
6134,萬旭,股東常會
6147,頎邦,股東常會
6148,驊宏資,除息
6154,順發,股東常會
6158,禾昌,股東常會
6161,捷波,股東常會
6188,廣明,股東常會
6188,廣明,除息
6190,萬泰科,股東常會
6208,日揚,股東常會
6219,富旺,股東常會
6228,全譜,股東常會
6233,旺玖,股東常會
6263,普萊德,股東常會
6275,元山,股東常會
6290,良維,股東常會
6291,沛亨,股東常會
6291,沛亨,除息
6418,詠昇,股東常會
6435,大中,股東常會
6441,廣錠,股東常會
6469,大樹,股東常會
6510,精測,股東常會
6523,達爾膚,除息
6530,創威,股東常會
6538,倉和,股東常會
6546,正基,股東常會
6548,長科*,股東常會
6568,宏觀,股東常會
6570,維田,股東常會
6577,勁豐,股東常會
6596,寬宏藝術,股東常會
6596,寬宏藝術,除息
6612,奈米醫材,股東常會
6629,泰金-KY,股東常會
6640,均華,股東常會
6642,富致,股東常會
6642,富致,除息
6643,M31,股東常會
6651,全宇昕,股東常會
6651,全宇昕,除息
6654,天正國際,股東常會
6664,群翊,股東常會
6667,信紘科,股東常會
6690,安碁資訊,股東常會
6693,廣閎科,股東常會
6716,應廣,股東常會
6739,竹陞科技,股東常會
6752,叡揚,股東常會
6752,叡揚,除息
6761,穩得,股東常會
6788,華景電,股東常會
6803,崑鼎,股東常會
6811,宏碁資訊,股東常會
6823,濾能,股東常會
6870,騰雲,股東常會
6874,倍力,股東常會
6903,巨漢,股東常會
6968,萬達寵物,股東常會
6982,大井泵浦,股東常會
7556,意德士,股東常會
8032,光菱,股東常會
8040,九暘,股東常會
8049,晶采,股東常會
8064,東捷,股東常會
8069,元太,股東常會
8086,宏捷科,股東常會
8109,博大,股東常會
8109,博大,除息
8111,立碁,股東常會
8121,越峰,股東常會
8299,群聯,股東常會
8342,益張,股東常會
8401,白紗科,股東常會
8401,白紗科,除息
8415,大國鋼,股東常會
8421,旭源,股東常會
8426,紅木-KY,股東常會
8431,匯鑽科,除息
8432,東生華,股東常會
8450,霹靂,股東常會
8908,欣雄,除息
8916,光隆,股東常會
8923,時報,股東常會
8924,大田,股東常會
8931,大汽電,股東常會
8936,國統,股東常會
8938,明安,股東常會
8938,明安,除息
8942,森鉅,股東常會
