feature,importance,importance_normalized
broker_buy_sell_ratio,1265.0,1.4735002912055912
broker_top5_seller_net_ratio_5d_ma,1096.0,1.2766453115899825
broker_top5_buyer_net_ratio_5d_ma,1075.0,1.2521840419336052
broker_foreign_buy_ratio,1051.0,1.2242283051834595
broker_major_sell_ratio,978.0,1.1391962725684333
broker_sell_concentration,934.0,1.0879440885264997
